Date,Month,Year,Price,Open,High,Low,Vol.,Change %
"May 21, 2021",May,2021,316.23,319.29,319.93,315.81,13.60M,-0.75%
"May 20, 2021",May,2021,318.61,313.9,319.13,313.68,17.32M,1.60%
"May 19, 2021",May,2021,313.59,304.23,314.66,304.23,19.11M,1.17%
"May 18, 2021",May,2021,309.96,315.43,316.34,309.83,14.52M,-1.74%
"May 17, 2021",May,2021,315.46,313.8,315.66,311.66,15.40M,-0.15%
"May 14, 2021",May,2021,315.94,309.54,316.85,309.08,19.25M,3.50%
"May 13, 2021",May,2021,305.26,305.85,308.85,302.8,18.08M,0.90%
"May 12, 2021",May,2021,302.55,300.96,304.96,298.26,24.64M,-1.30%
"May 11, 2021",May,2021,306.53,300.65,306.84,299.8,18.92M,0.18%
"May 10, 2021",May,2021,305.97,314.5,314.5,304.86,24.24M,-4.11%
"May 07, 2021",May,2021,319.08,322.38,322.93,318.75,15.92M,-0.29%
"May 06, 2021",May,2021,320.02,314.54,320.19,313.32,19.01M,1.59%
"May 05, 2021",May,2021,315.02,318.19,321.06,314.49,15.58M,-1.05%
"May 04, 2021",May,2021,318.36,320.02,322.19,313.12,24.03M,-1.31%
"May 03, 2021",May,2021,322.58,326.17,328.55,321.84,18.72M,-0.77%
"Apr 30, 2021",April,2021,325.08,326.14,329.82,324.5,26.33M,-1.34%
"Apr 29, 2021",April,2021,329.51,330.31,331.64,321.69,56.53M,7.30%
"Apr 28, 2021",April,2021,307.1,306.82,310.62,305.4,33.91M,1.16%
"Apr 27, 2021",April,2021,303.57,304.65,305.31,301.33,15.31M,0.17%
"Apr 26, 2021",April,2021,303.04,303.11,305.74,301.61,16.17M,0.63%
"Apr 23, 2021",April,2021,301.13,298.76,302.59,297.15,17.56M,1.55%
"Apr 22, 2021",April,2021,296.52,300.85,302.88,296.05,16.38M,-1.64%
"Apr 21, 2021",April,2021,301.47,301.34,301.66,297.42,14.86M,-0.39%
"Apr 20, 2021",April,2021,302.65,301.99,304.96,297.23,16.80M,0.14%
"Apr 19, 2021",April,2021,302.24,305.55,307.58,300.6,14.55M,-1.29%
"Apr 16, 2021",April,2021,306.18,308.17,308.95,304.61,13.06M,-0.53%
