"Date","Price","Open","High","Low","Change %"
"May 18, 2021","6.4283","6.4085","6.4486","6.3830","0.33%"
"May 17, 2021","6.4071","6.4016","6.4630","6.3752","0.09%"
"May 14, 2021","6.4012","6.4145","6.4398","6.3665","-0.17%"
"May 13, 2021","6.4122","6.4060","6.4349","6.3539","0.11%"
"May 12, 2021","6.4050","6.3432","6.4234","6.3000","1.02%"
"May 11, 2021","6.3402","6.3407","6.4278","6.3314","0.00%"
"May 10, 2021","6.3401","6.3650","6.3913","6.3222","-0.46%"
"May 07, 2021","6.3695","6.3694","6.3879","6.3169","0.03%"
"May 06, 2021","6.3675","6.4320","6.4802","6.3372","-0.94%"
"May 05, 2021","6.4277","6.5371","6.5487","6.4233","-1.71%"
"May 04, 2021","6.5393","6.5620","6.5929","6.5040","-0.37%"
"May 03, 2021","6.5636","6.5411","6.5726","6.4813","0.46%"
"Apr 30, 2021","6.5337","6.4673","6.5496","6.4465","1.02%"
"Apr 29, 2021","6.4680","6.4792","6.5224","6.4608","-0.14%"
"Apr 28, 2021","6.4773","6.5929","6.5942","6.4782","-1.71%"
"Apr 27, 2021","6.5903","6.5680","6.6097","6.5336","0.37%"
"Apr 26, 2021","6.5657","6.6213","6.6345","6.5646","-0.88%"
"Apr 23, 2021","6.6243","6.5423","6.6624","6.5399","1.26%"
"Apr 22, 2021","6.5419","6.7029","6.7165","6.5325","-2.38%"
"Apr 21, 2021","6.7017","6.7042","6.7078","6.6820","0.01%"
"Apr 20, 2021","6.7008","6.6772","6.7351","6.6307","0.40%"
"Apr 19, 2021","6.6740","6.6958","6.7607","6.6505","-0.34%"
"Apr 16, 2021","6.6965","6.7212","6.8054","6.6678","-0.35%"
"Apr 15, 2021","6.7198","6.7739","6.7821","6.6976","-0.75%"
"Apr 14, 2021","6.7707","6.8313","6.8630","6.7629","-0.86%"
"Apr 13, 2021","6.8296","6.8298","6.8541","6.7634","0.03%"
"Apr 12, 2021","6.8277","6.7575","6.8362","6.7077","0.97%"
"Apr 09, 2021","6.7623","6.6397","6.7677","6.6156","1.88%"
"Apr 08, 2021","6.6374","6.6628","6.6875","6.6017","-0.40%"
"Apr 07, 2021","6.6642","6.6398","6.7090","6.6057","0.39%"
"Apr 06, 2021","6.6386","6.6913","6.6975","6.6099","-0.75%"
"Apr 05, 2021","6.6888","6.7132","6.7197","6.6396","-0.36%"
"Apr 02, 2021","6.7132","6.7233","6.7293","6.7070","-0.10%"
"Apr 01, 2021","6.7201","6.6080","6.7448","6.5855","1.75%"
"Mar 31, 2021","6.6046","6.7666","6.7839","6.5911","-2.36%"
"Mar 30, 2021","6.7642","6.8012","6.8085","6.7016","-0.50%"
"Mar 29, 2021","6.7983","6.7891","6.8390","6.7537","0.15%"
"Mar 26, 2021","6.7882","6.6438","6.7931","6.6431","2.17%"
"Mar 25, 2021","6.6437","6.6403","6.7056","6.6179","0.06%"
"Mar 24, 2021","6.6394","6.5451","6.6691","6.4950","1.49%"
"Mar 23, 2021","6.5418","6.5721","6.5956","6.4761","-0.43%"
"Mar 22, 2021","6.5702","6.5318","6.6150","6.5163","0.51%"
"Mar 19, 2021","6.5368","6.6266","6.6387","6.4847","-1.33%"
"Mar 18, 2021","6.6252","6.6899","6.6958","6.5395","-0.93%"
"Mar 17, 2021","6.6876","6.6973","6.7614","6.6710","-0.09%"
"Mar 16, 2021","6.6933","6.6996","6.7318","6.6170","-0.07%"
"Mar 15, 2021","6.6983","6.6358","6.7427","6.5979","0.95%"
"Mar 12, 2021","6.6355","6.6340","6.6678","6.5921","0.02%"
"Mar 11, 2021","6.6340","6.7653","6.7895","6.6203","-1.92%"
"Mar 10, 2021","6.7639","6.9054","6.9142","6.7286","-2.03%"
"Mar 09, 2021","6.9038","6.9611","7.0013","6.8548","-0.78%"
"Mar 08, 2021","6.9584","6.7849","6.9616","6.7521","2.61%"
"Mar 05, 2021","6.7817","6.7855","6.8147","6.7474","-0.03%"
"Mar 04, 2021","6.7839","6.7793","6.8064","6.6812","0.09%"
"Mar 03, 2021","6.7780","6.8636","6.9717","6.7341","-1.22%"
"Mar 02, 2021","6.8618","6.7983","6.9096","6.7655","0.96%"
"Mar 01, 2021","6.7967","6.7628","6.7990","6.6880","0.55%"
"Feb 26, 2021","6.7597","6.7344","6.7754","6.6529","0.38%"
"Feb 25, 2021","6.7343","6.5770","6.7513","6.5718","2.43%"
"Feb 24, 2021","6.5745","6.6109","6.6263","6.5545","-0.54%"
"Feb 23, 2021","6.6101","6.6449","6.6605","6.5786","-0.50%"
"Feb 22, 2021","6.6433","6.5220","6.7206","6.5078","1.86%"
"Feb 19, 2021","6.5217","6.5621","6.6393","6.5079","-0.59%"
"Feb 18, 2021","6.5602","6.5135","6.5887","6.4973","0.73%"
"Feb 17, 2021","6.5126","6.5019","6.5372","6.4570","0.20%"
"Feb 16, 2021","6.4998","6.5132","6.5357","6.4949","-0.20%"
"Feb 15, 2021","6.5125","6.5101","6.5223","6.5064","0.08%"
"Feb 12, 2021","6.5071","6.5099","6.5503","6.4851","-0.02%"
"Feb 11, 2021","6.5085","6.5271","6.5619","6.4742","-0.26%"
"Feb 10, 2021","6.5257","6.5181","6.5879","6.4910","0.14%"
"Feb 09, 2021","6.5166","6.4653","6.5883","6.4630","0.80%"
"Feb 08, 2021","6.4646","6.4674","6.5194","6.3883","-0.04%"
"Feb 05, 2021","6.4670","6.4928","6.5415","6.4286","-0.37%"
"Feb 04, 2021","6.4913","6.4429","6.5264","6.4151","0.77%"
"Feb 03, 2021","6.4417","6.4655","6.4781","6.3945","-0.34%"
"Feb 02, 2021","6.4636","6.5509","6.5672","6.4191","-1.33%"
"Feb 01, 2021","6.5507","6.6321","6.6354","6.5447","-1.19%"
"Jan 29, 2021","6.6293","6.5957","6.6800","6.5719","0.52%"
"Jan 28, 2021","6.5950","6.5564","6.6241","6.5380","0.59%"
"Jan 27, 2021","6.5561","6.5127","6.5628","6.4799","0.69%"
"Jan 26, 2021","6.5109","6.6358","6.6497","6.4625","-1.87%"
"Jan 25, 2021","6.6347","6.6522","6.6609","6.6234","-0.25%"
"Jan 22, 2021","6.6512","6.5091","6.6793","6.5022","2.21%"
"Jan 21, 2021","6.5074","6.4065","6.5564","6.3525","1.60%"
"Jan 20, 2021","6.4051","6.4985","6.5146","6.3948","-1.41%"
"Jan 19, 2021","6.4969","6.3967","6.5104","6.3565","1.59%"
"Jan 18, 2021","6.3951","6.3966","6.4223","6.3223","0.04%"
"Jan 15, 2021","6.3925","6.3168","6.4156","6.2976","1.19%"
"Jan 14, 2021","6.3171","6.4426","6.4506","6.3108","-1.94%"
"Jan 13, 2021","6.4420","6.4988","6.5146","6.4082","-0.83%"
"Jan 12, 2021","6.4962","6.6706","6.6857","6.4805","-2.59%"
"Jan 11, 2021","6.6686","6.6192","6.7079","6.5852","0.74%"
"Jan 08, 2021","6.6195","6.6401","6.6404","6.5333","-0.28%"
"Jan 07, 2021","6.6382","6.5508","6.6515","6.5054","1.36%"
"Jan 06, 2021","6.5494","6.4992","6.5901","6.4594","0.78%"
"Jan 05, 2021","6.4989","6.4875","6.5712","6.4608","0.18%"
"Jan 04, 2021","6.4875","6.3527","6.4912","6.2935","1.76%"
"Jan 01, 2021","6.3755","6.3755","6.3755","6.3755","0.52%"
"Dec 31, 2020","6.3428","6.3875","6.3938","6.3414","-0.67%"
"Dec 30, 2020","6.3857","6.3815","6.4376","6.3268","0.08%"
"Dec 29, 2020","6.3806","6.4104","6.4321","6.3271","-0.43%"
"Dec 28, 2020","6.4081","6.3654","6.4880","6.3011","0.66%"
"Dec 25, 2020","6.3662","6.3576","6.3707","6.3462","0.16%"
"Dec 24, 2020","6.3563","6.3583","6.3731","6.3523","0.00%"
"Dec 23, 2020","6.3562","6.2762","6.3626","6.2533","1.30%"
"Dec 22, 2020","6.2747","6.2722","6.3204","6.2511","0.07%"
"Dec 21, 2020","6.2701","6.2467","6.3619","6.1893","0.28%"
"Dec 18, 2020","6.2527","6.2057","6.2751","6.1905","0.78%"
"Dec 17, 2020","6.2044","6.2021","6.2432","6.1728","0.06%"
