Date,Month,Year,Price,Open,High,Low,Vol.,Change %
"Aug 07, 2020",August,2020,3167.46,3224.01,3240.81,3140.67,3.94M,-1.78%
"Aug 06, 2020",August,2020,3225,3194.36,3247.47,3165.43,3.94M,0.62%
"Aug 05, 2020",August,2020,3205.03,3143.77,3213.59,3127.3,3.93M,2.11%
"Aug 04, 2020",August,2020,3138.83,3101.21,3167.24,3101.21,4.69M,0.87%
"Aug 03, 2020",August,2020,3111.89,3180.51,3184,3104,5.07M,-1.67%
"Jul 31, 2020",July,2020,3164.68,3244,3246.82,3151,8.08M,3.70%
"Jul 30, 2020",July,2020,3051.88,3014,3092,3005,6.13M,0.60%
"Jul 29, 2020",July,2020,3033.53,3030.99,3039.16,2996.77,2.97M,1.11%
"Jul 28, 2020",July,2020,3000.33,3054.27,3077.09,2995.76,3.13M,-1.80%
"Jul 27, 2020",July,2020,3055.21,3062,3098,3015.77,4.17M,1.54%
"Jul 24, 2020",July,2020,3008.91,2930,3031.58,2888,5.63M,0.75%
"Jul 23, 2020",July,2020,2986.55,3098.27,3098.27,2970,5.66M,-3.66%
"Jul 22, 2020",July,2020,3099.91,3125,3150,3065.26,4.10M,-1.22%
"Jul 21, 2020",July,2020,3138.29,3232.49,3240.58,3105.72,6.13M,-1.83%
"Jul 20, 2020",July,2020,3196.84,3000.2,3201.36,2994.02,7.60M,7.93%
"Jul 17, 2020",July,2020,2961.97,3009,3024,2948.45,4.76M,-1.26%
"Jul 16, 2020",July,2020,2999.9,2971.06,3032,2918.23,6.39M,-0.30%
"Jul 15, 2020",July,2020,3008.87,3080.23,3098.35,2973.18,5.79M,-2.44%
"Jul 14, 2020",July,2020,3084,3089,3127.38,2950,7.23M,-0.64%
"Jul 13, 2020",July,2020,3104,3251.06,3344.29,3068.39,7.72M,-3.00%
"Jul 10, 2020",July,2020,3200,3191.76,3215,3135.7,5.49M,0.55%
"Jul 09, 2020",July,2020,3182.63,3115.99,3193.88,3074,6.39M,3.29%
"Jul 08, 2020",July,2020,3081.11,3022.61,3083.97,3012.43,5.04M,2.70%
"Jul 07, 2020",July,2020,3000.12,3058.55,3069.55,2990,5.26M,-1.86%
"Jul 06, 2020",July,2020,3057.04,2934.97,3059.88,2930,6.88M,5.77%
"Jul 02, 2020",July,2020,2890.3,2912.01,2955.56,2871.1,6.59M,0.40%
"Jul 01, 2020",July,2020,2878.7,2757.99,2895,2754,6.36M,4.35%
"Jun 30, 2020",June,2020,2758.82,2685.07,2769.63,2675.03,3.77M,2.93%
"Jun 29, 2020",June,2020,2680.38,2690.01,2696.8,2630.08,4.22M,-0.46%
"Jun 26, 2020",June,2020,2692.87,2775.06,2782.57,2688,6.50M,-2.24%
"Jun 25, 2020",June,2020,2754.58,2739.55,2756.23,2712.14,2.97M,0.74%
"Jun 24, 2020",June,2020,2734.4,2780,2796,2721,4.53M,-1.09%
"Jun 23, 2020",June,2020,2764.41,2726.02,2783.11,2718.04,4.23M,1.86%
"Jun 22, 2020",June,2020,2713.82,2684.5,2715,2669,3.21M,1.45%
"Jun 19, 2020",June,2020,2675.01,2678.08,2697.43,2659,5.78M,0.79%
"Jun 18, 2020",June,2020,2653.98,2647.01,2659.64,2636.11,2.49M,0.49%
"Jun 17, 2020",June,2020,2640.98,2647.5,2655,2631.82,2.96M,0.98%
"Jun 16, 2020",June,2020,2615.27,2620,2620,2576,3.60M,1.66%
"Jun 15, 2020",June,2020,2572.68,2526.6,2584,2508,3.87M,1.09%
"Jun 12, 2020",June,2020,2545.02,2601.21,2621.48,2503.35,5.44M,-0.51%
"Jun 11, 2020",June,2020,2557.96,2603.5,2671.38,2536.23,5.80M,-3.38%
"Jun 10, 2020",June,2020,2647.45,2645,2722.35,2626.26,4.95M,1.79%
"Jun 09, 2020",June,2020,2600.86,2529.44,2626.43,2525,5.18M,3.04%
"Jun 08, 2020",June,2020,2524.06,2500.2,2530,2487.34,3.97M,1.65%
"Jun 05, 2020",June,2020,2483,2444.51,2488.64,2437.13,3.31M,0.91%
"Jun 04, 2020",June,2020,2460.6,2477.43,2507.54,2450.01,2.95M,-0.72%
"Jun 03, 2020",June,2020,2478.4,2468.01,2488,2461.17,2.67M,0.24%
"Jun 02, 2020",June,2020,2472.41,2467,2473.53,2445.31,2.53M,0.06%
"Jun 01, 2020",June,2020,2471.04,2448,2476.93,2444.17,2.94M,1.17%
"May 29, 2020",May,2020,2442.37,2415.94,2442.37,2398.2,3.53M,1.72%
"May 28, 2020",May,2020,2401.1,2384.33,2436.97,2378.23,3.19M,-0.39%
"May 27, 2020",May,2020,2410.39,2404.99,2413.58,2330,5.06M,-0.47%
"May 26, 2020",May,2020,2421.86,2458,2462,2414.06,3.57M,-0.62%
"May 22, 2020",May,2020,2436.88,2455.01,2469.85,2430.13,2.87M,-0.40%
"May 21, 2020",May,2020,2446.74,2500,2525.45,2442.54,5.11M,-2.05%
"May 20, 2020",May,2020,2497.94,2477.87,2500.01,2467.27,4.00M,1.98%
"May 19, 2020",May,2020,2449.33,2429.83,2484.99,2428.97,4.32M,0.95%
"May 18, 2020",May,2020,2426.26,2404.35,2433,2384.01,4.37M,0.68%
"May 15, 2020",May,2020,2409.78,2368.52,2411,2356.37,4.23M,0.88%
"May 14, 2020",May,2020,2388.85,2361.01,2391.37,2353.21,3.65M,0.88%
