Date,Month,Year,Price,Open,High,Low,Vol.,Change %
"Aug 19, 2020",August,2020,1544.6,1552.6,1568.7,1540.6,1.52M,-0.72%
"Aug 18, 2020",August,2020,1555.8,1525.6,1557.2,1522,1.42M,2.61%
"Aug 17, 2020",August,2020,1516.2,1507.2,1523.2,1506.6,999.93K,0.77%
"Aug 14, 2020",August,2020,1504.6,1513.6,1519.8,1499,1.10M,-0.79%
"Aug 13, 2020",August,2020,1516.7,1508.9,1536.4,1508.9,1.12M,0.62%
"Aug 12, 2020",August,2020,1507.2,1487.3,1511.2,1485.6,1.13M,1.80%
"Aug 11, 2020",August,2020,1480.5,1493.3,1510.4,1478.3,1.55M,-1.09%
"Aug 10, 2020",August,2020,1496.8,1491.3,1506.6,1477.8,1.03M,-0.10%
"Aug 07, 2020",August,2020,1498.4,1509,1520.1,1486.3,1.39M,-0.44%
"Aug 06, 2020",August,2020,1504.9,1479.1,1506.1,1472,1.67M,1.75%
"Aug 05, 2020",August,2020,1479.1,1474.6,1490,1471.3,1.46M,0.39%
"Aug 04, 2020",August,2020,1473.3,1484.9,1492.1,1464.4,1.86M,-0.64%
"Aug 03, 2020",August,2020,1482.8,1492.9,1497.1,1472,2.28M,-0.35%
"Jul 31, 2020",July,2020,1487.9,1497.1,1505,1454,4.58M,-3.28%
"Jul 30, 2020",July,2020,1538.4,1497.8,1540.7,1496.2,1.80M,0.98%
"Jul 29, 2020",July,2020,1523.5,1505,1533.3,1503,1.13M,1.32%
"Jul 28, 2020",July,2020,1503.7,1524.5,1525.8,1500.6,1.55M,-1.69%
"Jul 27, 2020",July,2020,1529.4,1515.7,1537,1512.8,1.36M,1.41%
"Jul 24, 2020",July,2020,1508.2,1499.2,1515.4,1487.6,1.50M,-0.56%
"Jul 23, 2020",July,2020,1516.8,1566.4,1568.3,1509.6,1.70M,-3.07%
"Jul 22, 2020",July,2020,1564.8,1558.5,1566.4,1544.5,1.22M,0.57%
"Jul 21, 2020",July,2020,1555.9,1580,1580,1552.6,1.38M,-0.51%
"Jul 20, 2020",July,2020,1563.8,1515,1569,1502.7,1.51M,3.10%
"Jul 17, 2020",July,2020,1516.8,1516.9,1523.4,1498.1,1.71M,0.13%
"Jul 16, 2020",July,2020,1514.9,1501.2,1515.3,1488.3,1.32M,-0.13%
"Jul 15, 2020",July,2020,1516.9,1525.4,1535,1498.1,1.55M,-0.26%
"Jul 14, 2020",July,2020,1520.9,1488.7,1522.7,1487,1.91M,0.57%
"Jul 13, 2020",July,2020,1512.2,1554.7,1576.2,1507.6,2.15M,-1.74%
"Jul 10, 2020",July,2020,1539,1513.3,1541.3,1500.7,1.80M,1.34%
"Jul 09, 2020",July,2020,1518.7,1512.2,1528.8,1495.7,2.09M,1.00%
"Jul 08, 2020",July,2020,1503.6,1498.5,1510.6,1492.3,1.59M,0.92%
"Jul 07, 2020",July,2020,1489.9,1496.1,1521.3,1489.7,2.12M,-0.65%
"Jul 06, 2020",July,2020,1499.7,1488.3,1510,1478.5,2.24M,2.02%
"Jul 02, 2020",July,2020,1469.9,1451.8,1488.5,1451.1,2.86M,1.94%
"Jul 01, 2020",July,2020,1442,1419.2,1448.5,1414.2,2.11M,1.69%
"Jun 30, 2020",June,2020,1418.1,1395,1421,1387.2,2.01M,1.49%
"Jun 29, 2020",June,2020,1397.2,1361,1397.2,1351.7,2.25M,2.54%
"Jun 26, 2020",June,2020,1362.5,1433.1,1434.3,1355.5,4.88M,-5.45%
"Jun 25, 2020",June,2020,1441.1,1429.4,1442.3,1419.8,1.20M,0.59%
"Jun 24, 2020",June,2020,1432.7,1463,1475.4,1430.4,1.58M,-2.14%
"Jun 23, 2020",June,2020,1464,1456,1475,1445,1.89M,0.92%
"Jun 22, 2020",June,2020,1450.7,1424.3,1450.8,1419.3,1.47M,1.83%
"Jun 19, 2020",June,2020,1424.6,1438,1444.3,1420.7,2.64M,-0.66%
"Jun 18, 2020",June,2020,1434.1,1449.8,1452.5,1426.5,1.74M,-1.27%
"Jun 17, 2020",June,2020,1452.5,1453,1462,1435.7,1.53M,0.42%
"Jun 16, 2020",June,2020,1446.5,1446.6,1457.2,1429.1,1.53M,1.81%
"Jun 15, 2020",June,2020,1420.7,1388.8,1424.7,1387.9,1.53M,0.55%
"Jun 12, 2020",June,2020,1412.9,1425.9,1434.5,1385.8,1.83M,0.79%
"Jun 11, 2020",June,2020,1401.9,1439.7,1450.9,1398.6,2.36M,-4.29%
"Jun 10, 2020",June,2020,1464.7,1464.7,1472.8,1454.4,1.59M,0.87%
"Jun 09, 2020",June,2020,1452.1,1443,1467.2,1443,1.68M,0.28%
"Jun 08, 2020",June,2020,1448,1428.7,1448.8,1424.6,1.69M,0.56%
"Jun 05, 2020",June,2020,1440,1415.6,1446.3,1407.6,2.13M,1.82%
"Jun 04, 2020",June,2020,1414.3,1433.6,1440.5,1406.1,1.35M,-1.73%
"Jun 03, 2020",June,2020,1439.3,1442.3,1449,1431.9,1.39M,-0.21%
"Jun 02, 2020",June,2020,1442.3,1432.4,1442.9,1421.7,1.17M,0.52%
"Jun 01, 2020",June,2020,1434.9,1425,1440.5,1422.3,1.26M,0.09%
"May 29, 2020",May,2020,1433.5,1420.4,1436.7,1416,1.85M,1.08%
"May 28, 2020",May,2020,1418.2,1400.3,1444.3,1400.3,1.76M,-0.14%
"May 27, 2020",May,2020,1420.3,1419.4,1425.3,1394.7,1.58M,-0.08%
"May 26, 2020",May,2020,1421.4,1440.8,1445,1420.6,2.23M,0.58%
"May 22, 2020",May,2020,1413.2,1403.9,1417,1395.9,1.43M,0.46%
"May 21, 2020",May,2020,1406.8,1405.6,1416,1394.8,1.54M,-0.17%
"May 20, 2020",May,2020,1409.2,1388.4,1411.4,1387.9,1.91M,2.53%
"May 19, 2020",May,2020,1374.4,1383.3,1392.3,1374.3,1.58M,-0.78%
"May 18, 2020",May,2020,1385.2,1363,1392.7,1354.8,2.36M,0.88%
"May 15, 2020",May,2020,1373.1,1350.4,1374.3,1339,2.08M,1.19%
"May 14, 2020",May,2020,1356.9,1333.5,1357.3,1323.6,1.83M,0.63%
"May 13, 2020",May,2020,1348.3,1379.1,1384.9,1328.6,2.02M,-1.95%
"May 12, 2020",May,2020,1375.2,1408.2,1414.3,1374.5,1.70M,-2.02%
"May 11, 2020",May,2020,1403.6,1376.8,1415.5,1375.5,1.64M,1.39%
"May 08, 2020",May,2020,1384.3,1381.8,1396.6,1372,1.67M,1.10%
"May 07, 2020",May,2020,1369.3,1361.3,1376,1352.5,1.54M,1.77%
"May 06, 2020",May,2020,1345.4,1358,1368.7,1345.1,1.59M,-0.27%
"May 05, 2020",May,2020,1349,1337.5,1371,1335,1.98M,1.97%
"May 04, 2020",May,2020,1322.9,1308.1,1324.5,1296,1.54M,0.42%
"May 01, 2020",May,2020,1317.3,1324.1,1351.4,1309.7,2.44M,-2.18%
