"Date","Price","Open","High","Low","Change %"
"Jan 21, 2021","7.3474","7.2259","7.4076","7.1778","1.70%"
"Jan 20, 2021","7.2248","7.3028","7.3510","7.2076","-1.05%"
"Jan 19, 2021","7.3016","7.1957","7.3198","7.1347","1.49%"
"Jan 18, 2021","7.1942","7.1953","7.2136","7.1075","0.05%"
"Jan 15, 2021","7.1907","7.1138","7.2137","7.0870","1.10%"
"Jan 14, 2021","7.1127","7.2283","7.2502","7.0974","-1.57%"
"Jan 13, 2021","7.2262","7.2737","7.3232","7.1906","-0.66%"
"Jan 12, 2021","7.2739","7.4191","7.4698","7.2544","-1.95%"
"Jan 11, 2021","7.4189","7.3507","7.4524","7.3050","0.96%"
"Jan 08, 2021","7.3482","7.3394","7.3717","7.2467","0.14%"
"Jan 07, 2021","7.3377","7.2319","7.3513","7.2063","1.48%"
"Jan 06, 2021","7.2306","7.2025","7.2671","7.1385","0.43%"
"Jan 05, 2021","7.1998","7.1894","7.2744","7.1580","0.18%"
"Jan 04, 2021","7.1872","7.0976","7.1939","6.9739","1.23%"
"Jan 01, 2021","7.1000","7.1015","7.1069","7.1015","-0.02%"
"Dec 31, 2020","7.1011","7.0763","7.1090","7.0661","0.37%"
"Dec 30, 2020","7.0749","7.0347","7.1219","7.0071","0.59%"
"Dec 29, 2020","7.0334","7.0574","7.0962","6.9759","-0.31%"
"Dec 28, 2020","7.0555","7.0666","7.1463","6.9651","-0.17%"
"Dec 25, 2020","7.0673","7.0695","7.0901","7.0687","-0.01%"
"Dec 24, 2020","7.0678","7.0403","7.1055","7.0370","0.42%"
"Dec 23, 2020","7.0380","6.8952","7.0515","6.8811","2.10%"
"Dec 22, 2020","6.8934","6.8976","6.9201","6.8441","-0.04%"
"Dec 21, 2020","6.8960","6.8759","6.9419","6.7297","-0.03%"
"Dec 18, 2020","6.8982","6.8727","6.9299","6.8231","0.41%"
"Dec 17, 2020","6.8700","6.8682","6.9295","6.8562","0.04%"
"Dec 16, 2020","6.8672","6.8436","6.9380","6.8274","0.34%"
"Dec 15, 2020","6.8438","6.8203","6.8791","6.7976","0.36%"
"Dec 14, 2020","6.8194","6.7283","6.8344","6.7160","1.81%"
"Dec 11, 2020","6.6982","6.6821","6.7234","6.6200","0.26%"
"Dec 10, 2020","6.6805","6.9307","6.9365","6.6673","-3.56%"
"Dec 09, 2020","6.9268","6.8386","6.9459","6.8325","1.31%"
"Dec 08, 2020","6.8370","6.8221","6.8688","6.7428","0.24%"
"Dec 07, 2020","6.8204","6.9343","6.9343","6.7422","-1.55%"
"Dec 04, 2020","6.9277","6.9271","7.0038","6.8710","0.03%"
"Dec 03, 2020","6.9257","6.9714","7.0339","6.8970","-0.67%"
"Dec 02, 2020","6.9721","6.9887","7.0180","6.9385","-0.17%"
"Dec 01, 2020","6.9840","7.1051","7.1499","6.9818","-1.67%"
"Nov 30, 2020","7.1026","7.1151","7.2099","7.0420","-0.17%"
"Nov 27, 2020","7.1147","7.1280","7.1773","7.0786","-0.17%"
"Nov 26, 2020","7.1269","7.1217","7.1553","7.0730","0.04%"
"Nov 25, 2020","7.1242","7.1807","7.1938","7.0981","-0.77%"
"Nov 24, 2020","7.1797","7.2478","7.2808","7.1617","-0.92%"
"Nov 23, 2020","7.2464","7.1420","7.2573","7.1413","1.41%"
"Nov 20, 2020","7.1453","7.0361","7.1724","7.0163","1.56%"
"Nov 19, 2020","7.0355","7.1199","7.1328","7.0066","-1.13%"
"Nov 18, 2020","7.1160","7.0570","7.1289","7.0137","0.87%"
"Nov 17, 2020","7.0549","7.1458","7.1926","7.0511","-1.24%"
"Nov 16, 2020","7.1432","7.1927","7.2280","7.0768","-0.75%"
"Nov 13, 2020","7.1972","7.1603","7.2766","7.1550","0.55%"
"Nov 12, 2020","7.1578","7.1287","7.1979","7.0388","0.43%"
"Nov 11, 2020","7.1274","7.1856","7.2195","7.0920","-0.79%"
"Nov 10, 2020","7.1842","7.0900","7.1902","7.0701","1.35%"
"Nov 09, 2020","7.0888","7.0620","7.1290","6.8741","0.44%"
"Nov 06, 2020","7.0578","7.2631","7.3151","7.0409","-2.81%"
"Nov 05, 2020","7.2621","7.3573","7.4065","7.2516","-1.25%"
"Nov 04, 2020","7.3541","7.5180","7.5642","7.3334","-2.16%"
"Nov 03, 2020","7.5162","7.4191","7.5233","7.3472","1.35%"
"Nov 02, 2020","7.4164","7.4348","7.4394","7.3816","-0.24%"
"Oct 30, 2020","7.4341","7.4736","7.5212","7.4151","-0.48%"
"Oct 29, 2020","7.4699","7.4614","7.4981","7.4255","0.11%"
"Oct 28, 2020","7.4614","7.4444","7.4880","7.3899","0.26%"
"Oct 27, 2020","7.4417","7.3257","7.4539","7.3070","1.62%"
"Oct 26, 2020","7.3234","7.3321","7.3838","7.2998","-0.02%"
"Oct 23, 2020","7.3252","7.3151","7.3516","7.2744","0.17%"
"Oct 22, 2020","7.3128","7.3747","7.3781","7.2851","-0.80%"
"Oct 21, 2020","7.3716","7.2566","7.4005","7.2520","1.61%"
"Oct 20, 2020","7.2551","7.2648","7.2777","7.1775","-0.06%"
"Oct 19, 2020","7.2593","7.2968","7.3550","7.2297","-0.41%"
"Oct 16, 2020","7.2894","7.2512","7.3081","7.2193","0.57%"
"Oct 15, 2020","7.2481","7.2755","7.3001","7.2157","-0.37%"
"Oct 14, 2020","7.2747","7.2049","7.3051","7.1645","0.99%"
"Oct 13, 2020","7.2033","7.2285","7.3034","7.1929","-0.31%"
"Oct 12, 2020","7.2254","7.2066","7.2376","7.1936","0.11%"
"Oct 09, 2020","7.2173","7.2438","7.2654","7.1665","-0.31%"
"Oct 08, 2020","7.2398","7.2491","7.2909","7.2117","-0.09%"
"Oct 07, 2020","7.2466","7.2052","7.2768","7.1474","0.62%"
"Oct 06, 2020","7.2020","7.2362","7.2519","7.1133","-0.44%"
"Oct 05, 2020","7.2338","7.3504","7.3689","7.2017","-1.64%"
"Oct 02, 2020","7.3542","7.2769","7.3657","7.2450","1.11%"
"Oct 01, 2020","7.2735","7.2495","7.3190","7.1923","0.34%"
"Sep 30, 2020","7.2485","7.2485","7.3190","7.2123","0.03%"
"Sep 29, 2020","7.2464","7.2639","7.2968","7.2099","-0.24%"
"Sep 28, 2020","7.2639","7.0912","7.2941","7.0890","2.46%"
"Sep 25, 2020","7.0893","7.0273","7.1063","6.9945","0.94%"
"Sep 24, 2020","7.0233","7.1204","7.1659","7.0023","-1.32%"
"Sep 23, 2020","7.1171","6.9678","7.1260","6.9354","2.20%"
"Sep 22, 2020","6.9639","6.9369","6.9928","6.8836","0.40%"
"Sep 21, 2020","6.9363","6.9655","7.0633","6.8911","-0.30%"
"Sep 18, 2020","6.9573","6.7979","6.9783","6.7806","2.37%"
"Sep 17, 2020","6.7960","6.7924","6.8335","6.7469","0.08%"
"Sep 16, 2020","6.7907","6.8008","6.8545","6.7652","-0.09%"
"Sep 15, 2020","6.7971","6.7715","6.8249","6.7274","0.41%"
"Sep 14, 2020","6.7693","6.8060","6.8683","6.7628","-0.52%"
"Sep 11, 2020","6.8045","6.8122","6.8470","6.7307","-0.12%"
"Sep 10, 2020","6.8125","6.9021","6.9215","6.7751","-1.27%"
"Sep 09, 2020","6.9001","6.9613","6.9690","6.8573","-0.84%"
"Sep 08, 2020","6.9587","6.9798","7.0437","6.9011","-0.27%"
"Sep 07, 2020","6.9773","7.0349","7.0407","6.9641","-0.88%"
"Sep 04, 2020","7.0393","7.0292","7.0683","6.9427","0.18%"
"Sep 03, 2020","7.0270","7.1315","7.1350","7.0001","-1.44%"
"Sep 02, 2020","7.1296","7.2221","7.2481","7.1193","-1.25%"
"Sep 01, 2020","7.2198","7.3419","7.4058","7.1437","-1.66%"
"Aug 31, 2020","7.3415","7.1855","7.3526","7.1677","2.07%"
"Aug 28, 2020","7.1926","7.3531","7.4181","7.1891","-2.15%"
"Aug 27, 2020","7.3507","7.4064","7.4198","7.3258","-0.75%"
"Aug 26, 2020","7.4064","7.2450","7.4464","7.2303","2.24%"
"Aug 25, 2020","7.2438","7.3331","7.3745","7.2384","-1.15%"
"Aug 24, 2020","7.3283","7.3538","7.3864","7.2839","-0.35%"
"Aug 21, 2020","7.3538","7.3443","7.3791","7.2823","0.17%"
"Aug 20, 2020","7.3416","7.2787","7.4455","7.2604","0.86%"
"Aug 19, 2020","7.2792","7.2386","7.2867","7.1800","0.60%"
"Aug 18, 2020","7.2361","7.2172","7.3017","7.1528","0.25%"
"Aug 17, 2020","7.2179","7.0950","7.2276","7.0732","1.77%"
"Aug 14, 2020","7.0921","7.0152","7.1263","7.0043","1.12%"
"Aug 13, 2020","7.0135","7.0859","7.1287","6.9862","-0.99%"
"Aug 12, 2020","7.0837","7.0229","7.1609","6.9995","0.91%"
"Aug 11, 2020","7.0198","7.1643","7.1990","7.0205","-2.01%"
"Aug 10, 2020","7.1639","7.0931","7.1778","6.9980","0.94%"
"Aug 07, 2020","7.0975","7.0139","7.1002","6.9710","1.27%"
"Aug 06, 2020","7.0088","6.9394","7.0634","6.9377","1.04%"
"Aug 05, 2020","6.9365","6.9174","6.9820","6.8771","0.32%"
